Name,Eligible,Voters
Accounting,1095,17
African Studies & Anthropology,89,5
All other values,116,0
"Art Hist, Cur and Vis Studies",153,2
Bhm Clinical Trial Unit (BCTU),15,1
Biomedical Sciences,650,8
Birmingham Business School,431,4
Birmingham International Acad,518,4
Birmingham Leadership Inst,0,0
Birmingham Medical School,2296,17
"Byzantine, Ottoman, Greek Stud",9,0
Chemical Engineering,870,17
Chemistry,556,5
Civil Engineering,553,7
"Classics, AH and Archaeology",258,5
Computer Science,2291,65
COS - College Hub,21,1
Dental Hygiene and Therapy,82,0
Dentistry,448,1
"Disab, Inclusion & Spec Needs",780,4
Drama and Theatre Arts,133,1
Earth and Environ Sciences,509,21
Economics,1431,28
Education & Social Justice,582,4
"Elec, Elec & Sys Engineering",646,15
Eng Lang and Linguistics,472,3
Engineering,253,35
English Literature,593,5
EPS - College Hub,122,3
Film and Creative Writing,384,7
Finance,260,7
Geography,803,15
Golf Studies,681,0
Health Services Management Cen,740,4
HEFi,13,0
History,837,29
Inst of Applied Health Res,257,8
Inst of Cancer / Genomic Sci,290,4
Inst of Card Sciences,54,0
Inst of Immunol + Immunoth,108,1
Inst of Inflammation / Ageing,82,0
Inst of Metabolism and Sys Res,39,0
Inst of Microb and Infection,26,0
Institute of Clinical Sciences,9,0
International Development,407,4
Law,1943,81
Liberal Arts & Natural Science,413,8
Management,2342,25
Marketing,267,8
Mathematics,1743,11
MDS - College Hub,6,0
Mechanical Engineering,857,14
Metallurgy & Materials,499,3
Modern Languages,548,5
Music,196,5
Nursing and Midwifery,899,4
People and Organisational Deve,48,0
Pharmacy,542,4
Philosophy,386,6
Physics & Astronomy,781,18
Physiotherapy,401,1
School of Biosciences,1168,22
School of Education,84,1
School of Psychology,1666,21
Shakespeare Institute,135,1
"Soc Policy, Sociology & Crimin",865,12
Social Work & Social Care,327,3
"Sport, Ex and Rehab Sciences",1019,7
Strategy and Int Business,280,6
Teacher Education,506,1
Theology and Religion,299,6
Urdang Academy,118,0
Wiley,561,1
